scenario,seed,S,T0,N,trtmt.allctn,cntrl.mean,sd.Y,reg1.name,reg2.name,reg3.name,reg4.name,reg5.name,reg1.allctn,reg2.allctn,reg3.allctn,reg4.allctn,reg5.allctn,reg1.trtmt.mean,reg2.trtmt.mean,reg3.trtmt.mean,reg4.trtmt.mean,reg5.trtmt.mean
1,64890,5,5,7650,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
2,331977,5,5,7650,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
3,239402,5,5,7650,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
4,812274,5,5,7650,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
5,729259,5,5,7650,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
6,479100,5,5,7650,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
7,998891,5,5,7650,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
8,631979,5,5,7650,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
9,867445,5,5,7650,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
10,773907,5,5,7650,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
11,726246,5,5,7650,0.5,0.082,0.205,Reg1,Reg2,Reg3,Reg4,Reg5,0.2,0.2,0.2,0.2,0.2,0.116,0.116,0.116,0.116,0.116
